n,avgQuality,make,model,logValues,modelName,makeName
14#2161,88.38928571,14,2161,1.946399624,CanonPowerShotG1,Canon
32#2002,88.4,32,2002,1.946452265,QSS-31,NORITSUKOKI
109#2862,88.41,109,2862,1.946501391,FC-S3,KYOCERA
8#2323,88.41725,8,2323,1.946537003,COOLPIXP4,Nikon
6#170,88.41958065,6,170,1.946548451,NIKOND80,Nikon Corporation
9#764,88.43017241,9,764,1.946600472,SP590UZ,OLYMPUSIMAGINGCORP.
14#753,88.4335,14,753,1.946616814,CanonDIGITALIXUS80IS,Canon
87#2718,88.445,87,2718,1.946673286,PhotoPC850Z,SEIKOEPSONCORP.
54#2235,88.45428571,54,2235,1.94671888,PENTAXOptioWG-2GPS,PENTAX
18#2176,88.4575,18,2176,1.946734661,KODAKLS755ZOOMDIGITALCAME,EASTMANKODAKCOMPANY
24#1285,88.46208333,24,1285,1.946757163,FinePixZ20fd,FUJIFILM
60#566,88.4825,60,566,1.946857385,QCAM-AA,QCOM-AA
8#2515,88.49,8,2515,1.946894195,COOLPIXAW120,Nikon
20#3584,88.495,20,3584,1.946918734,BlackBerry9670,ResearchInMotion
26#2939,88.49534247,26,2939,1.946920414,<Digimaxi6PMPSamsung#11,SamsungTechwin
33#207,88.51448718,33,207,1.947014358,K810i,SonyEricsson
14#1447,88.515,14,1447,1.947016874,CanonPowerShotSD770IS,Canon
18#656,88.515,18,656,1.947016874,KODAKEASYSHAREC180Digital,EASTMANKODAKCOMPANY
247#3062,88.525,247,3062,1.947065935,SQ908MEGA-Cam,SQTech.Co.Ltd
24#1590,88.53016129,24,1590,1.947091255,FinePixS5800S800,FUJIFILM
54#2580,88.54857143,54,2580,1.947181559,PENTAXOptioLS1100,PENTAX
20#74,88.56333333,20,74,1.947253954,BlackBerry8320,ResearchInMotion
20#974,88.56333333,20,974,1.947253954,BlackBerry8300,ResearchInMotion
95#2643,88.585,95,2643,1.94736019,DCE53,BenQ
14#247,88.59966667,14,247,1.947432088,CanonPowerShotSD870IS,Canon
14#1118,88.60111111,14,1118,1.947439168,CanonPowerShotA80,Canon
33#3182,88.6025,33,3182,1.947445976,K660i,SonyEricsson
39#2201,88.608,39,2201,1.947472934,HPPhotosmartE427,Hewlett-Packard
9#3790,88.60833333,9,3790,1.947474568,u9010S9010,OLYMPUSIMAGINGCORP.
24#3460,88.61,24,3460,1.947482737,FujifilmA220A230,FUJIFILM
8#679,88.61068182,8,679,1.947486078,COOLPIXS9100,Nikon
9#11,88.61367188,9,11,1.947500733,TG-2,OLYMPUSIMAGINGCORP.
5#4047,88.62,5,4047,1.947531746,SAMSUNGES30/VLUUES30,SAMSUNG
8#96,88.6280303,8,96,1.947571098,COOLPIXP1,Nikon
96#1631,88.63,96,1631,1.947580749,KonicaDigitalCameraKD-500Z,KonicaCorporation
73#3243,88.67,73,3243,1.947776708,CaplioRR530,RICOH
24#2765,88.67566667,24,2765,1.947804462,FinePixA204,FUJIFILM
18#2586,88.695,18,2586,1.947899138,KODAKEASYSHARECX7220ZOOMD,EASTMANKODAKCOMPANY
7#389,88.7,7,389,1.94792362,C6903,Sony
9#2000,88.70833333,9,2000,1.94796442,SP310,OLYMPUSIMAGINGCORP.
14#576,88.71966667,14,576,1.948019901,CanonPowerShotG9,Canon
73#3178,88.72833333,73,3178,1.948062324,CaplioG3modelS,RICOH
14#423,88.74166667,14,423,1.948127581,CanonPowerShotS70,Canon
4#2780,88.75125,4,2780,1.948174479,DMC-F7,Panasonic
6#415,88.7555625,6,415,1.948195581,NIKOND300S,Nikon Corporation
44#286,88.7575,44,286,1.948205061,DV,
9#4305,88.765,9,4305,1.948241757,TG-630,OLYMPUSIMAGINGCORP.
26#3059,88.76680982,26,3059,1.948250612,<SamsungNV3SamsungVLUUNV,SamsungTechwin
74#1765,88.77230769,74,1765,1.94827751,S5,SANYOElectricCo.Ltd.
262#3237,88.7725,262,3237,1.948278451,TDC302QS,ARGUS.Co.Ltd
33#1422,88.78140625,33,1422,1.94832202,K790i,SonyEricsson
107#3008,88.785,107,3008,1.948339599,iPAQrx3000,HP
38#265,88.786875,38,265,1.948348771,DiMAGES414,MinoltaCo.Ltd.
33#1016,88.78958333,33,1016,1.948362018,W880i,SonyEricsson
5#3473,88.79,5,3473,1.948364056,SAMSUNGST45/VLUUST45/SAMS,SAMSUNG
14#2635,88.817,14,2635,1.9484961,CanonDIGITALIXUSIIs,Canon
33#204,88.82865385,33,204,1.948553081,C905,SonyEricsson
9#405,88.83590909,9,405,1.948588551,SP565UZ,OLYMPUSIMAGINGCORP.
14#1205,88.83642857,14,1205,1.948591091,CanonDIGITALIXUSi,Canon
89#1472,88.83842105,89,1472,1.948600831,LEICAX1,LeicaCameraAG
26#2965,88.83917738,26,2965,1.948604528,<DigimaxS830/KenoxS830>,SamsungTechwin
303#3872,88.845,303,3872,1.948632992,TELECHIPSINC,Telechips
4#1066,88.85571429,4,1066,1.948685362,DMC-LX2,Panasonic
14#40,88.85954546,14,40,1.948704087,CanonPowerShotSD1000,Canon
73#2797,88.86767241,73,2797,1.948743805,CaplioGX8,RICOH
25#2386,88.87232064,25,2386,1.948766521,DigimaxA50/KENOXQ2,SAMSUNGTECHWINCO.LTD.
24#3187,88.88,24,3187,1.948804046,A860,FUJIFILM
14#180,88.88105263,14,180,1.948809189,CanonPowerShotS3IS,Canon
163#3997,88.888,163,3997,1.948843135,luxmedia12-Z4,PENTACON
18#1248,88.896,18,1248,1.94888222,KODAKP850ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
7#3298,88.8975,7,3298,1.948889548,DCR-TRV320,Sony
14#543,88.909,14,543,1.948945726,CanonDIGITALIXUS30,Canon
14#627,88.91,14,627,1.94895061,CanonIXUS1000HS,Canon
9#555,88.91253968,9,555,1.948963016,E-P2,OLYMPUSIMAGINGCORP.
7#1546,88.9126,7,1546,1.94896331,DSC-P73,Sony
14#446,88.92,14,446,1.948999454,CanonPowerShotA640,Canon
9#308,88.92162651,9,308,1.949007398,E-P1,OLYMPUSIMAGINGCORP.
24#2746,88.925625,24,2746,1.949026926,FinePixA610,FUJIFILM
1#1,88.929,1,1,1.949043409,Nexus4,LGE
157#1779,88.9325,157,1779,1.949060501,A835,GEDSCIMAGINGCORP.
157#2145,88.9325,157,2145,1.949060501,A735,GEDSCIMAGINGCORP.
30#1035,88.942,30,1035,1.949106891,X350D575ZC360Z,OLYMPUSCORPORATION
8#1153,88.95434783,8,1153,1.94916718,COOLPIXL12,Nikon
6#8,88.97313869,6,8,1.949258911,NIKOND90,Nikon Corporation
14#168,88.97466667,14,168,1.94926637,CanonDIGITALIXUS70,Canon
24#549,88.98105263,24,549,1.949297539,FinePixS2000HDS2100HD,FUJIFILM
18#1764,88.99,18,1764,1.949341207,KODAKZ730ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
10#1640,88.99,10,1640,1.949341207,N80,Nokia
20#1104,88.995,20,1104,1.949365607,BlackBerryPlayBook,ResearchInMotion
20#2497,88.995,20,2497,1.949365607,BlackberryBlackBerry10Dev,ResearchInMotion
20#4002,88.995,20,4002,1.949365607,Blackberry10DevAlpha,ResearchInMotion
5#2155,88.9975,5,2155,1.949377807,SCH-U960,SAMSUNG
24#2711,88.99818966,24,2711,1.949381173,FinePix40i,FUJIFILM
7#1075,88.99866667,7,1075,1.9493835,DSC-W70,Sony
24#2587,89.01333333,24,2587,1.949455065,FinePix4700Z,FUJIFILM
39#2352,89.015,39,2352,1.949463196,HPPhotosmartE317,Hewlett-Packard
16#2028,89.04,16,2028,1.949585151,LG-P940,LGElectronics
24#4197,89.051875,24,4197,1.949643068,FinePix700,FUJIFILM
14#1043,89.09,14,1043,1.949828959,CanonPowerShotSD880IS,Canon
14#1579,89.09,14,1579,1.949828959,CanonPowerShotSD900,Canon
14#1790,89.09,14,1790,1.949828959,CanonDIGITALIXUSi5,Canon
9#1116,89.0903125,9,1116,1.949830482,FE-140X-725,OLYMPUSIMAGINGCORP.
16#1453,89.11,16,1453,1.949926444,KM900,LGElectronics
21#97,89.11625,21,97,1.949956903,SP-1500,FUJIPHOTOFILMCO.LTD.
159#3732,89.12,159,3732,1.949975178,PlayStation(R)Vita,SonyComputerEntertainmentI
9#2398,89.1262069,9,2398,1.950005424,FE100X710,OLYMPUSIMAGINGCORP.
24#2692,89.12840426,24,2692,1.950016131,FinePix2650,FUJIFILM
9#177,89.1303125,9,177,1.950025429,uT6010ST6010,OLYMPUSIMAGINGCORP.
4#1441,89.13691177,4,1441,1.950057583,DMC-FX37,Panasonic
14#485,89.14107143,14,485,1.95007785,CanonEOS30D,Canon
64#3104,89.145,64,3104,1.950096989,VIVICAM-4345,ViviCam
109#2931,89.15054688,109,2931,1.950124012,CONTAXi4R,KYOCERA
14#832,89.162,14,832,1.950179802,CanonPowerShotS40,Canon
6#14,89.17806931,6,14,1.950258066,NIKOND7000,Nikon Corporation
146#1744,89.18,146,1744,1.950267468,HPPhotoSmart715,Hewlett-PackardCompany
7#2551,89.19125,7,2551,1.950322251,C6802,Sony
95#3005,89.195,95,3005,1.95034051,DCE520+,BenQ
9#1262,89.205,9,1262,1.950389198,E-420,OLYMPUSIMAGINGCORP.
7#76,89.21078125,7,76,1.950417343,DSC-W55,Sony
26#1565,89.2165625,26,1565,1.950445486,VLUUL77/L77DigitalCamera,SamsungTechwin
14#272,89.21875,14,272,1.950456134,CanonPowerShotA85,Canon
33#1008,89.22125,33,1008,1.950468303,W610i,SonyEricsson
5#4191,89.225625,5,4191,1.950489599,WB100/WB101,SAMSUNG
14#1210,89.233125,14,1210,1.950526103,CanonIXYDIGITAL800IS,Canon
22#110,89.235,22,110,1.950535228,AquarisE5FHD,bq
8#882,89.24695122,8,882,1.950593389,E4200,Nikon
14#244,89.249,14,244,1.950603359,CanonPowerShotS100,Canon
26#3013,89.25784392,26,3013,1.950646392,<DigimaxS1000/KenoxS1000>,SamsungTechwin
7#276,89.270875,7,276,1.950709792,DSC-W300,Sony
97#2880,89.275,97,2880,1.950729859,5MP-9X9,CAMERA
8#814,89.28378788,8,814,1.950772607,COOLPIXS30,Nikon
24#4005,89.285,24,4005,1.950778503,FinePixJZ310,FUJIFILM
18#209,89.2875,18,209,1.950790663,KODAKDX7590ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
19#1171,89.29,19,1171,1.950802823,DROIDX,Motorola
62#579,89.29369048,62,579,1.950820773,D-LUX2,LEICA
14#831,89.29875,14,831,1.95084538,CanonIXYDIGITAL320,Canon
73#2135,89.30794872,73,2135,1.950890114,CaplioG3modelM,RICOH
7#1174,89.32833333,7,1174,1.950989231,DSC-H5,Sony
48#689,89.33111111,48,689,1.951002736,EX-Z1050,CASIOCOMPUTERCO.LTD.
24#1611,89.33402174,24,1611,1.951016886,FinePixA345,FUJIFILM
14#530,89.33730769,14,530,1.95103286,CanonPowerShotSD750,Canon
7#90,89.34125,7,90,1.951052025,DSC-WX50,Sony
38#3517,89.345,38,3517,1.951070253,DiMAGES404,MinoltaCo.Ltd.
7#350,89.34720588,7,350,1.951080976,DSC-T7,Sony
14#1122,89.36055556,14,1122,1.95114586,CanonPowerShotD10,Canon
21#390,89.36916667,21,390,1.951187708,SP-2000,FUJIPHOTOFILMCO.LTD.
261#3231,89.37149802,261,3231,1.951199038,7MCCDCAMERA,PolaroidA700
54#1518,89.38805556,54,1518,1.95127949,PENTAXOptioH90,PENTAX
52#1101,89.390625,52,1101,1.951291974,DigitalCam,DIGITAL
14#231,89.39521739,14,231,1.951314285,CanonEOS350DDIGITAL,Canon
7#49,89.40557692,7,49,1.95136461,DSC-W100,Sony
26#2434,89.42911937,26,2434,1.951478954,VLUUL110M110/SamsungL1,SamsungTechwin
33#660,89.436,33,660,1.951512367,C702,SonyEricsson
4#2686,89.44166667,4,2686,1.951539883,DMC-FX2,Panasonic
24#1046,89.4496875,24,1046,1.951578828,FinePix50i,FUJIFILM
9#2188,89.46076923,9,2188,1.951632628,FE240/X795,OLYMPUSIMAGINGCORP.
8#1097,89.46228571,8,1097,1.95163999,COOLPIXL5,Nikon
24#996,89.46399267,24,996,1.951648276,FinePixS5000,FUJIFILM
8#2592,89.46565217,8,2592,1.951656332,E700,Nikon
26#2865,89.4691958,26,2865,1.951673534,<DigimaxU-CA5KenoxU-CA,SamsungTechwin
18#657,89.47532258,18,657,1.951703273,KODAKEASYSHAREM530Digital,EASTMANKODAKCOMPANY
26#2607,89.47819602,26,2607,1.95171722,<DigimaxS800/KenoxS800>,SamsungTechwin
24#1005,89.48380952,24,1005,1.951744465,FinePixA350,FUJIFILM
8#818,89.49201299,8,818,1.951784277,COOLPIXP530,Nikon
26#2681,89.4922,26,2681,1.951785185,VLUUNV7NV7,SamsungTechwin
26#3050,89.50948473,26,3050,1.951869057,<DigimaxV800/KenoxV20/D,SamsungTechwin
24#1197,89.52274775,24,1197,1.951933404,FinePixS3000,FUJIFILM
54#1710,89.55882353,54,1710,1.95210838,PENTAXOptioP70,PENTAX
14#2172,89.565,14,2172,1.95213833,CanonPowerShotA450,Canon
17#2653,89.56875,17,2653,1.952156513,C150D390,OLYMPUSOPTICALCO.LTD
217#2657,89.58132023,217,2657,1.952217459,Digimax430/KenoxD430,SAMSUNGTECHWINCO.LTD
10#720,89.5905,10,720,1.95226196,N8-00,Nokia
38#2490,89.61,38,2490,1.952356477,DiMAGE5,MinoltaCo.Ltd.
9#1440,89.62192308,9,1440,1.952414259,u780S780,OLYMPUSIMAGINGCORP.
33#479,89.6225,33,479,1.952417054,U20i,SonyEricsson
17#2596,89.62446429,17,2596,1.952426573,E-10,OLYMPUSOPTICALCO.LTD
7#1542,89.63055556,7,1542,1.952456088,NEX-C3,Sony
9#1182,89.63075,9,1182,1.95245703,FE370X880C575,OLYMPUSIMAGINGCORP.
109#2301,89.648,109,2301,1.952540605,FC-S4,KYOCERA
24#3305,89.65,24,3305,1.952550294,FinePixJ210,FUJIFILM
54#3618,89.65166667,54,3618,1.952558368,PENTAXOptioWS80,PENTAX
4#1821,89.65857143,4,1821,1.952591815,DMC-GH2,Panasonic
11#1251,89.66083333,11,1251,1.952602771,PENTAXOptio43WR,PENTAXCorporation
9#1195,89.67293478,9,1195,1.952661383,u40DS500uD500,OLYMPUSIMAGINGCORP.
5#4286,89.685,5,4286,1.952719812,SAMSUNGMV800,SAMSUNG
5#4032,89.695,5,4032,1.952768234,SAMSUNGPL80/VLUUPL80/SAMSUN,SAMSUNG
7#263,89.695,7,263,1.952768234,DSC-W110,Sony
11#1601,89.7,11,1601,1.952792443,PENTAXOptioS10,PENTAXCorporation
11#1438,89.70547619,11,1438,1.952818956,PENTAXOptio555,PENTAXCorporation
18#2676,89.71222222,18,2676,1.952851615,KODAKEASYSHAREDX3215ZoomD,EASTMANKODAKCOMPANY
19#1343,89.71333333,19,1343,1.952856993,MB525,Motorola
9#2413,89.72232394,9,2413,1.952900514,E-330,OLYMPUSIMAGINGCORP.
14#699,89.72833333,14,699,1.952929601,CanonPowerShotTX1,Canon
14#1561,89.72833333,14,1561,1.952929601,CanonIXYDIGITAL60,Canon
9#2662,89.729,9,2662,1.952932828,u810/S810,OLYMPUSIMAGINGCORP.
24#2742,89.735,24,2742,1.952961867,FinePixA403,FUJIFILM
9#2354,89.741875,9,2354,1.952995139,u750S750,OLYMPUSIMAGINGCORP.
8#3894,89.74471429,8,3894,1.953008879,COOLPIXL810,Nikon
4#1044,89.74490385,4,1044,1.953009797,DMC-LZ3,Panasonic
39#1825,89.75346154,39,1825,1.953051207,PhotosmartM425,Hewlett-Packard
4#376,89.75479167,4,376,1.953057643,DMC-FX07,Panasonic
24#2768,89.76368421,24,2768,1.953100669,FinePix6900ZOOM,FUJIFILM
62#2858,89.7775,62,2858,1.953167508,digiluxzoom,LEICA
14#779,89.78214286,14,779,1.953189967,CanonEOS-1DsMarkII,Canon
9#590,89.78517046,9,590,1.953204612,u720SWS720SW,OLYMPUSIMAGINGCORP.
4#1117,89.789,4,1117,1.953223135,DMC-FX7,Panasonic
18#2376,89.78914773,18,2376,1.953223849,KODAKEASYSHAREM893ISDIGIT,EASTMANKODAKCOMPANY
16#43,89.78916667,16,43,1.953223941,LG-VX8575,LGElectronics
14#241,89.81071429,14,241,1.95332815,CanonEOS20D,Canon
26#2609,89.81993761,26,2609,1.953372749,Digimax420,SamsungTechwin
33#950,89.82375,33,950,1.953391182,W910i,SonyEricsson
33#2959,89.82375,33,2959,1.953391182,K610im,SonyEricsson
10#1712,89.825,10,1712,1.953397226,6600s,Nokia
9#1831,89.828,9,1831,1.95341173,u-miniSStylusVS,OLYMPUSIMAGINGCORP.
166#1938,89.82954546,166,1938,1.953419202,DC-833s,AGFAPHOTO
139#3281,89.8326,139,3281,1.95343397,i834,Polaroid
234#2826,89.835,234,2826,1.953445572,adss02x,adss02x
15#2266,89.835,15,2266,1.953445572,HTCWildfireSA510b,HTC
16#3600,89.835,16,3600,1.953445572,GT350,LGElectronics
16#3637,89.835,16,3637,1.953445572,GC900,LGElectronics
18#1860,89.83568966,18,1860,1.953448906,KODAKEASYSHAREM340Digital,EASTMANKODAKCOMPANY
7#1517,89.8425,7,1517,1.953481828,DSC-HX200V,Sony
7#329,89.84603448,7,329,1.953498913,DSC-H1,Sony
8#3409,89.85166667,8,3409,1.953526137,COOLPIXS225,Nikon
8#3768,89.85983333,8,3768,1.953565609,COOLPIXS8200,Nikon
8#1151,89.8609375,8,1151,1.953570945,COOLPIXP5100,Nikon
14#1051,89.862,14,1051,1.95357608,CanonEOSD60,Canon
9#1185,89.86217949,9,1185,1.953576948,u710S710,OLYMPUSIMAGINGCORP.
11#2570,89.87,11,2570,1.953614742,PENTAXOptioSVi,PENTAXCorporation
52#3004,89.885,52,3004,1.953687223,F17,DIGITAL
11#480,89.897,11,480,1.953745199,PENTAX*istDL2,PENTAXCorporation
21#697,89.915,21,697,1.953832149,SLP1000SE,FUJIPHOTOFILMCO.LTD.
21#784,89.915,21,784,1.953832149,SP-2500,FUJIPHOTOFILMCO.LTD.
15#574,89.915,15,574,1.953832149,HTCWildfireSA510e,HTC
15#1839,89.915,15,1839,1.953832149,HTCWildfireS,HTC
15#2346,89.915,15,2346,1.953832149,HTC-A510a,HTC
16#3546,89.915,16,3546,1.953832149,GS290,LGElectronics
19#1208,89.915,19,1208,1.953832149,MotorolaPhone,Motorola
202#3699,89.915,202,3699,1.953832149,PV100,OregonScientific
20#1011,89.915,20,1011,1.953832149,BlackBerry9810,ResearchInMotion
64#2184,89.915,64,2184,1.953832149,V8025,ViviCam
18#1303,89.918125,18,1303,1.953847242,KODAKEASYSHAREM531Digital,EASTMANKODAKCOMPANY
5#4161,89.92,5,4161,1.953856298,GT-I9070P,SAMSUNG
7#2338,89.9275,7,2338,1.95389252,C6602,Sony
18#1302,89.93113636,18,1302,1.953910081,KODAKEASYSHAREC195Digital,EASTMANKODAKCOMPANY
14#1239,89.93375,14,1239,1.953922703,CanonPowerShotA700,Canon
6#291,89.93793814,6,291,1.953942927,NIKOND5000,Nikon Corporation
14#1487,89.93916667,14,1487,1.953948859,CanonPowerShotSD990IS,Canon
8#294,89.94378378,8,294,1.953971154,COOLPIXS4000,Nikon
14#920,89.9525,14,920,1.954013238,CanonIXUS255HS,Canon
15#1189,89.9525,15,1189,1.954013238,HTCHero,HTC
16#843,89.9525,16,843,1.954013238,VS660,LGElectronics
10#1356,89.9525,10,1356,1.954013238,701,Nokia
10#4051,89.9525,10,4051,1.954013238,808,Nokia
10#938,89.955,10,938,1.954025308,808PureView,Nokia
9#3959,89.95833333,9,3959,1.954041401,FE5030X965X960,OLYMPUSIMAGINGCORP.
25#1201,89.9625,25,1201,1.954061516,DigimaxA402,SAMSUNGTECHWINCO.LTD.
14#1269,89.96666667,14,1269,1.95408163,CanonPowerShotSX230HS,Canon
142#2062,89.96666667,142,2062,1.95408163,SGH-A737,SamsungElectronics
7#220,89.96861111,7,220,1.954091016,DSC-T10,Sony
24#2966,89.969,24,2966,1.954092893,FinePixF45fd,FUJIFILM
9#2438,89.96992754,9,2438,1.954097371,StylusTough-3000,OLYMPUSIMAGINGCORP.
33#3072,89.97,33,3072,1.95409772,K550im,SonyEricsson
7#1995,89.97071429,7,1995,1.954101168,DSC-P43,Sony
5#3857,89.98,5,3857,1.954145989,GT-E2370,SAMSUNG
5#3898,89.98,5,3898,1.954145989,GT-E2121B,SAMSUNG
14#419,89.9825,14,419,1.954158055,CanonPowerShotA1100IS,Canon
18#1476,89.985,18,1476,1.954170121,KODAKEASYSHAREM1033DIGITAL,EASTMANKODAKCOMPANY
142#1968,89.98666667,142,1968,1.954178165,SCH-W550,SamsungElectronics
24#129,89.98913044,24,129,1.954190055,FinePixF470,FUJIFILM
111#1204,89.995,111,1204,1.954218381,......,....
252#3124,89.995,252,3124,1.954218381,DSC_538M,5MDSC
57#2416,89.995,57,2416,1.954218381,AcerLiquid,acer
166#3817,89.995,166,3817,1.954218381,DC-1033m,AGFAPHOTO
126#1404,89.995,126,1404,1.954218381,WP-S1,AMOI
78#1875,89.995,78,1875,1.954218381,T00J,ASUS
95#3314,89.995,95,3314,1.954218381,DCC850,BenQ
189#2281,89.995,189,2281,1.954218381,BenQ_E72,BenQ_E72
167#4233,89.995,167,4233,1.954218381,DVS21_S22,BenQCorporation
145#4059,89.995,145,4059,1.954218381,BlackBerryDevAlpha,BlackBerry
14#145,89.995,14,145,1.954218381,NIKOND200,Canon
14#1759,89.995,14,1759,1.954218381,CanonPowerShotSX510HS,Canon
14#1989,89.995,14,1989,1.954218381,CanonEOS100D,Canon
14#3669,89.995,14,3669,1.954218381,MP495series,Canon
14#3852,89.995,14,3852,1.954218381,CanonPowerShotA1200,Canon
14#3913,89.995,14,3913,1.954218381,CanonPowerShotSX240HS,Canon
14#3982,89.995,14,3982,1.954218381,CanonIXY600F,Canon
14#4064,89.995,14,4064,1.954218381,CanonIXUS125HS,Canon
14#4122,89.995,14,4122,1.954218381,CanonPowerShotSD1400IS,Canon
14#4231,89.995,14,4231,1.954218381,CanonEOS700D,Canon
188#168,89.995,188,168,1.954218381,CanonDIGITALIXUS70,Canon.
287#3497,89.995,287,3497,1.954218381,CreativePC-CAM900,Creative
65#643,89.995,65,643,1.954218381,blade,CyanogenMod
65#1836,89.995,65,1836,1.954218381,liquid,CyanogenMod
117#1313,89.995,117,1313,1.954218381,Thunder,DELL
91#3295,89.995,91,3295,1.954218381,N904i,DoCoMo
91#3567,89.995,91,3567,1.954218381,D904i,DoCoMo
268#3283,89.995,268,3283,1.954218381,DV5100,DV5100M
201#2422,89.995,201,2422,1.954218381,FashionCam,DXGTechnologyCo.Ltd.
18#3368,89.995,18,3368,1.954218381,KODAKCD33ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
24#3835,89.995,24,3835,1.954218381,FinePixJX360,FUJIFILM
129#1465,89.995,129,1465,1.954218381,FrontierSP-3000,FUJIFILMCorporation
21#2921,89.995,21,2921,1.954218381,SP-1000-2780079-02,FUJIPHOTOFILMCO.LTD.
176#2080,89.995,176,2080,1.954218381,FDIService/UnKnownModel,FUJIPHOTOFILMCO.LTD./Un
152#2513,89.995,152,2513,1.954218381,F-12C,Fujitsu
15#42,89.995,15,42,1.954218381,ADR6350,HTC
15#71,89.995,15,71,1.954218381,HTCSensation4G,HTC
15#89,89.995,15,89,1.954218381,WindowsPhone8XbyHTC,HTC
15#122,89.995,15,122,1.954218381,HTCOneV,HTC
15#469,89.995,15,469,1.954218381,HTCDesireX,HTC
15#566,89.995,15,566,1.954218381,QCAM-AA,HTC
15#587,89.995,15,587,1.954218381,ADR6400L,HTC
15#748,89.995,15,748,1.954218381,HTCEVO3DX515m,HTC
15#896,89.995,15,896,1.954218381,HTC_Mozart,HTC
15#962,89.995,15,962,1.954218381,7MozartT8698,HTC
15#1134,89.995,15,1134,1.954218381,T-MobileG2,HTC
15#1194,89.995,15,1194,1.954218381,HTCIncredibleS,HTC
15#1254,89.995,15,1254,1.954218381,HTCSensationXLwithBeatsA,HTC
15#1317,89.995,15,1317,1.954218381,HTCDesireC,HTC
15#1318,89.995,15,1318,1.954218381,HTCDesireS,HTC
15#1320,89.995,15,1320,1.954218381,HTCDesireVC,HTC
15#1326,89.995,15,1326,1.954218381,RadarC110e,HTC
15#1814,89.995,15,1814,1.954218381,7Mozart,HTC
15#1837,89.995,15,1837,1.954218381,HTCSmart,HTC
15#1846,89.995,15,1846,1.954218381,HTCChaChaA810e,HTC
15#1907,89.995,15,1907,1.954218381,HTCDesireXdualsim,HTC
15#1933,89.995,15,1933,1.954218381,HD7T9292,HTC
15#2211,89.995,15,2211,1.954218381,HTCTouchCruiseT4242,HTC
15#2283,89.995,15,2283,1.954218381,VOGU100,HTC
15#2558,89.995,15,2558,1.954218381,HTCDesire600dualsim,HTC
15#2559,89.995,15,2559,1.954218381,HTCDesireV,HTC
15#2560,89.995,15,2560,1.954218381,Sensation,HTC
15#2581,89.995,15,2581,1.954218381,HTC6990LVW,HTC
15#3147,89.995,15,3147,1.954218381,HTC_P3490,HTC
15#3171,89.995,15,3171,1.954218381,X05HT,HTC
15#3371,89.995,15,3371,1.954218381,HTC-ST7377,HTC
15#3586,89.995,15,3586,1.954218381,HD7,HTC
15#3700,89.995,15,3700,1.954218381,T7575,HTC
15#3759,89.995,15,3759,1.954218381,PI39100,HTC
15#3760,89.995,15,3760,1.954218381,HTCTouchDiamondP3600,HTC
15#3832,89.995,15,3832,1.954218381,TITANX310e,HTC
155#149,89.995,155,149,1.954218381,HTCDesire,Htc_wwe
155#381,89.995,155,381,1.954218381,DesireHD,Htc_wwe
63#1445,89.995,63,1445,1.954218381,U8860,HUAWEI
63#2493,89.995,63,2493,1.954218381,Ideos,HUAWEI
63#2516,89.995,63,2516,1.954218381,M865,HUAWEI
92#2829,89.995,92,2829,1.954218381,A1402S2,KDDI-SN
92#3020,89.995,92,3020,1.954218381,A1402S,KDDI-SN
137#3261,89.995,137,3261,1.954218381,KONICAKD-20,Konica
109#4236,89.995,109,4236,1.954218381,Rise,KYOCERA
16#1575,89.995,16,1575,1.954218381,LGP500,LGElectronics
16#1684,89.995,16,1684,1.954218381,LGP350,LGElectronics
16#2510,89.995,16,2510,1.954218381,LG-E900,LGElectronics
196#2330,89.995,196,2330,1.954218381,MODEL_k70,MAKE_AllWinner
130#3247,89.995,130,3247,1.954218381,DimageV,Minolta
19#3441,89.995,19,3441,1.954218381,MB300,Motorola
19#3492,89.995,19,3492,1.954218381,MB501,Motorola
19#3703,89.995,19,3703,1.954218381,MB52558900002ffdc00000163c00,Motorola
326#4279,89.995,326,4279,1.954218381,MUVIDV,MUVIDV
8#3336,89.995,8,3336,1.954218381,COOLPIXS202,Nikon
8#4095,89.995,8,4095,1.954218381,COOLPIXS9050,Nikon
10#1365,89.995,10,1365,1.954218381,NokiaLumia510,Nokia
10#3743,89.995,10,3743,1.954218381,N8-00poweredbyShutterPro,Nokia
202#2807,89.995,202,2807,1.954218381,DS6688A,OregonScientific
202#3033,89.995,202,3033,1.954218381,DS6639,OregonScientific
291#3613,89.995,291,3613,1.954218381,F135_PLUS,PakonInc
149#1730,89.995,149,1730,1.954218381,Pixi,Palm
4#3475,89.995,4,3475,1.954218381,PV-GS180,Panasonic
4#4029,89.995,4,4029,1.954218381,HC-X800,Panasonic
70#700,89.995,70,700,1.954218381,IM-A850K,PANTECH
54#3455,89.995,54,3455,1.954218381,PENTAXOptioL60,PENTAX
54#3983,89.995,54,3983,1.954218381,PENTAXOptioE70,PENTAX
271#3326,89.995,271,3326,1.954218381,Polaroidi1032,PLA100Z
132#1468,89.995,132,1468,1.954218381,TRL,Recesky
20#84,89.995,20,84,1.954218381,BlackBerry9860,ResearchInMotion
20#295,89.995,20,295,1.954218381,BlackBerry9650,ResearchInMotion
