n,avgIfdsFocalLength,make,model,logValues,modelName,makeName
24#861,11,24,861,1.041392685,FinePixA203,FUJIFILM
24#1817,11,24,1817,1.041392685,FinePixZ30,FUJIFILM
24#2885,11,24,2885,1.041392685,FinePixF410,FUJIFILM
24#3504,11,24,3504,1.041392685,FinePixAX280,FUJIFILM
39#1413,11,39,1413,1.041392685,PhotosmartM417,Hewlett-Packard
136#4001,11,136,4001,1.041392685,GZ-HM330,JVC
96#2314,11,96,2314,1.041392685,KonicaDigitalCameraKD-310Z,KonicaCorporation
109#2787,11,109,2787,1.041392685,Finecam-L3v,KYOCERA
240#4127,11,240,4127,1.041392685,5LF-SF,Mustek
8#2519,11,8,2519,1.041392685,COOLPIXL25,Nikon
30#1035,11,30,1035,1.041392685,X350D575ZC360Z,OLYMPUSCORPORATION
9#993,11,9,993,1.041392685,FE4000X920X925,OLYMPUSIMAGINGCORP.
9#2781,11,9,2781,1.041392685,FE115X715,OLYMPUSIMAGINGCORP.
9#3761,11,9,3761,1.041392685,FE47X43,OLYMPUSIMAGINGCORP.
17#858,11,17,858,1.041392685,C300ZD550Z,OLYMPUSOPTICALCO.LTD
17#2947,11,17,2947,1.041392685,C-1ZD-150Z,OLYMPUSOPTICALCO.LTD
4#1988,11,4,1988,1.041392685,DMC-LS80,Panasonic
4#4066,11,4,4066,1.041392685,PHOTOfunSTUDIO6.5BD,Panasonic
54#1485,11,54,1485,1.041392685,PENTAXOptioP80,PENTAX
11#1193,11,11,1193,1.041392685,PENTAXOptioW10,PENTAXCorporation
11#2079,11,11,2079,1.041392685,PENTAXOptioE20,PENTAXCorporation
73#2135,11,73,2135,1.041392685,CaplioG3modelM,RICOH
73#2214,11,73,2214,1.041392685,CaplioR2,RICOH
73#2685,11,73,2685,1.041392685,CaplioR1,RICOH
73#3489,11,73,3489,1.041392685,CaplioRR1,RICOH
5#155,11,5,155,1.041392685,SAMSUNGST60/VLUUST60/SA,SAMSUNG
5#4135,11,5,4135,1.041392685,SAMSUNGPL51/VLUUPL51/SA,SAMSUNG
25#3238,11,25,3238,1.041392685,SamsungBL1050,SAMSUNGTECHWINCO.LTD.
7#456,11,7,456,1.041392685,DSC-P72,Sony
7#675,11,7,675,1.041392685,DSC-TX5,Sony
7#732,11,7,732,1.041392685,DSC-TX20,Sony
7#733,11,7,733,1.041392685,DSC-TX7,Sony
7#863,11,7,863,1.041392685,DSC-TX10,Sony
7#1827,11,7,1827,1.041392685,DSC-W215,Sony
7#2924,11,7,2924,1.041392685,MVC-CD350,Sony
7#2943,11,7,2943,1.041392685,DIGITALMAVICA,Sony
7#3992,11,7,3992,1.041392685,DSC-W520,Sony
67#3402,11,67,3402,1.041392685,SuperslimXS8,Traveler
4#387,11.07692308,4,387,1.04441914,DMC-LX7,Panasonic
14#248,11.1,14,248,1.045322979,CanonPowerShotSD940IS,Canon
14#979,11.1,14,979,1.045322979,CanonPowerShotSD960IS,Canon
14#1043,11.1,14,1043,1.045322979,CanonPowerShotSD880IS,Canon
14#1226,11.1,14,1226,1.045322979,CanonIXYDIGITAL920IS,Canon
14#1274,11.1,14,1274,1.045322979,CanonDIGITALIXUS110IS,Canon
14#1634,11.1,14,1634,1.045322979,CanonIXUS105,Canon
14#1690,11.1,14,1690,1.045322979,CanonDIGITALIXUS870IS,Canon
14#1917,11.1,14,1917,1.045322979,CanonPowerShotSD1300IS,Canon
11#1256,11.1,11,1256,1.045322979,PENTAXOptioM20,PENTAXCorporation
7#2203,11.1,7,2203,1.045322979,DSC-TX9,Sony
7#2827,11.1,7,2827,1.045322979,DSC-S500,Sony
9#177,11.11111111,9,177,1.045757491,uT6010ST6010,OLYMPUSIMAGINGCORP.
11#1251,11.11111111,11,1251,1.045757491,PENTAXOptio43WR,PENTAXCorporation
73#2118,11.11111111,73,2118,1.045757491,GXRP10,RICOH
7#640,11.11111111,7,640,1.045757491,DSC-S90,Sony
7#941,11.11111111,7,941,1.045757491,DSC-P8,Sony
7#1502,11.11111111,7,1502,1.045757491,DSC-S60,Sony
7#1546,11.11111111,7,1546,1.045757491,DSC-P73,Sony
39#284,11.125,39,284,1.04630002,PhotosmartM407,Hewlett-Packard
9#2047,11.125,9,2047,1.04630002,TG-3,OLYMPUSIMAGINGCORP.
26#805,11.125,26,805,1.04630002,DigimaxA400,SamsungTechwin
25#3025,11.125,25,3025,1.04630002,VLUUL83T/SamsungL83T,SAMSUNGTECHWINCO.LTD.
14#240,11.14285714,14,240,1.046996563,CanonDIGITALIXUS100IS,Canon
14#586,11.14285714,14,586,1.046996563,CanonPowerShotSD780IS,Canon
24#2665,11.14285714,24,2665,1.046996563,FinePixF401,FUJIFILM
9#2438,11.14285714,9,2438,1.046996563,StylusTough-3000,OLYMPUSIMAGINGCORP.
4#504,11.14285714,4,504,1.046996563,DMC-FT1,Panasonic
18#69,11.16666667,18,69,1.047923552,KODAKEASYSHAREC643ZOOMDIG,EASTMANKODAKCOMPANY
18#70,11.16666667,18,70,1.047923552,KODAKEASYSHAREC743ZOOMDIG,EASTMANKODAKCOMPANY
18#287,11.16666667,18,287,1.047923552,KODAKEASYSHAREC813ZOOMDIG,EASTMANKODAKCOMPANY
18#1444,11.16666667,18,1444,1.047923552,KODAKEASYSHAREC613ZOOMDIG,EASTMANKODAKCOMPANY
18#2294,11.16666667,18,2294,1.047923552,KODAKEASYSHAREC713ZOOMDIG,EASTMANKODAKCOMPANY
9#2660,11.16666667,9,2660,1.047923552,FE180/X745,OLYMPUSIMAGINGCORP.
11#2295,11.16666667,11,2295,1.047923552,PENTAXOptioS40,PENTAXCorporation
30#1416,11.18181818,30,1416,1.048512426,u20DS400Du400D,OLYMPUSCORPORATION
30#2053,11.18181818,30,2053,1.048512426,X400D580ZC460Z,OLYMPUSCORPORATION
7#731,11.18181818,7,731,1.048512426,DSC-T110,Sony
24#1284,11.2,24,1284,1.049218023,FinePixZ1,FUJIFILM
39#283,11.2,39,283,1.049218023,HPPhotosmartM630,Hewlett-Packard
76#756,11.2,76,756,1.049218023,DiMAGEX,MINOLTACO.LTD
11#455,11.2,11,455,1.049218023,PENTAXOptio330GS,PENTAXCorporation
26#3365,11.2,26,3365,1.049218023,<Digimaxi50MP3Samsung#1,SamsungTechwin
7#846,11.2,7,846,1.049218023,DSC-W180,Sony
8#2624,11.22222222,8,2624,1.050078864,SQ,Nikon
14#401,11.25,14,401,1.051152522,CanonPowerShotS95,Canon
8#2021,11.25,8,2021,1.051152522,COOLPIXS510,Nikon
11#1498,11.25,11,1498,1.051152522,PENTAXOptio50L,PENTAXCorporation
11#1689,11.25,11,1689,1.051152522,PENTAXOptioM30,PENTAXCorporation
11#2486,11.25,11,2486,1.051152522,PENTAXOptioL20,PENTAXCorporation
5#160,11.25,5,160,1.051152522,VLUUL200/SamsungL200,SAMSUNG
5#3425,11.25,5,3425,1.051152522,SAMSUNGES15/VLUUES15/SA,SAMSUNG
26#160,11.25,26,160,1.051152522,VLUUL200/SamsungL200,SamsungTechwin
26#2434,11.25,26,2434,1.051152522,VLUUL110M110/SamsungL1,SamsungTechwin
26#3242,11.25,26,3242,1.051152522,VLUUL100M100/SamsungL1,SamsungTechwin
26#3961,11.25,26,3961,1.051152522,VLUUL110/SamsungL110,SamsungTechwin
7#3027,11.25,7,3027,1.051152522,MVC-CD500,Sony
24#1483,11.27272727,24,1483,1.052029,FinePixF460,FUJIFILM
39#2054,11.27272727,39,2054,1.052029,HPPhotoSmartR607(V01.00)+,Hewlett-Packard
50#1056,11.27272727,50,1056,1.052029,DiMAGEXg,KonicaMinoltaCameraInc.
38#792,11.27272727,38,792,1.052029,DiMAGEXt,MinoltaCo.Ltd.
38#880,11.27272727,38,880,1.052029,DiMAGEXi,MinoltaCo.Ltd.
9#1195,11.27272727,9,1195,1.052029,u40DS500uD500,OLYMPUSIMAGINGCORP.
17#440,11.27272727,17,440,1.052029,u10DS300Du300D,OLYMPUSOPTICALCO.LTD
4#2993,11.28571429,4,2993,1.052529051,DMC-LS70,Panasonic
9#173,11.3,9,173,1.053078443,uT8000ST8000,OLYMPUSIMAGINGCORP.
9#1068,11.3,9,1068,1.053078443,uT6000ST6000,OLYMPUSIMAGINGCORP.
9#1085,11.3,9,1085,1.053078443,u1030SWS1030SW,OLYMPUSIMAGINGCORP.
17#2408,11.3,17,2408,1.053078443,X300D565ZC450Z,OLYMPUSOPTICALCO.LTD
4#109,11.3,4,109,1.053078443,DMC-FS16,Panasonic
4#203,11.3,4,203,1.053078443,DMC-F1,Panasonic
4#1172,11.3,4,1172,1.053078443,DMC-LC43,Panasonic
48#1063,11.33333333,48,1063,1.054357662,EX-Z600,CASIOCOMPUTERCO.LTD.
24#3904,11.33333333,24,3904,1.054357662,FinePixS4080,FUJIFILM
254#3952,11.33333333,254,3952,1.054357662,HDC-1496E/P,HITACHI
50#478,11.33333333,50,478,1.054357662,DiMAGEG400,KonicaMinoltaCameraInc.
11#254,11.33333333,11,254,1.054357662,PENTAXOptioW30,PENTAXCorporation
11#297,11.33333333,11,297,1.054357662,PENTAXOptioS50,PENTAXCorporation
11#1252,11.33333333,11,1252,1.054357662,PENTAXOptioW20,PENTAXCorporation
11#1253,11.33333333,11,1253,1.054357662,PENTAXOptioWP,PENTAXCorporation
11#1505,11.33333333,11,1505,1.054357662,PENTAXOptioWPi,PENTAXCorporation
11#2036,11.33333333,11,2036,1.054357662,PENTAXOptioX,PENTAXCorporation
11#2679,11.33333333,11,2679,1.054357662,PENTAXOptioT20,PENTAXCorporation
139#3034,11.33333333,139,3034,1.054357662,i533,Polaroid
7#76,11.33333333,7,76,1.054357662,DSC-W55,Sony
7#90,11.33333333,7,90,1.054357662,DSC-WX50,Sony
7#418,11.33333333,7,418,1.054357662,DSC-W50,Sony
7#641,11.33333333,7,641,1.054357662,DSC-W35,Sony
7#760,11.33333333,7,760,1.054357662,DSC-W30,Sony
7#1075,11.33333333,7,1075,1.054357662,DSC-W70,Sony
7#1658,11.33333333,7,1658,1.054357662,DSC-W40,Sony
7#2754,11.33333333,7,2754,1.054357662,DCR-PC105E,Sony
7#3109,11.33333333,7,3109,1.054357662,MAVICAmNIAJ4,Sony
4#2109,11.35714286,4,2109,1.055269089,DMC-FX48,Panasonic
18#335,11.375,18,335,1.055951405,KODAKDC290ZoomDigitalCame,EASTMANKODAKCOMPANY
18#934,11.375,18,934,1.055951405,KODAKDC4800ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
24#1908,11.375,24,1908,1.055951405,FinePixA340,FUJIFILM
4#1437,11.375,4,1437,1.055951405,DMC-FT2,Panasonic
26#133,11.375,26,133,1.055951405,<DigimaxS500/KenoxS500/,SamsungTechwin
26#281,11.375,26,281,1.055951405,<DigimaxD53>,SamsungTechwin
26#608,11.375,26,608,1.055951405,<KENOXS630/SamsungS630>,SamsungTechwin
26#916,11.375,26,916,1.055951405,<KENOXS730/SamsungS730>,SamsungTechwin
26#2443,11.375,26,2443,1.055951405,<SamsungD70/D75/S730/S,SamsungTechwin
26#2639,11.375,26,2639,1.055951405,<DigimaxS600/KenoxS600/,SamsungTechwin
26#2951,11.375,26,2951,1.055951405,<DigimaxS700/KenoxS700/,SamsungTechwin
18#1619,11.4,18,1619,1.056904851,KODAKEASYSHAREM575Digital,EASTMANKODAKCOMPANY
5#3631,11.4,5,3631,1.056904851,SAMSUNGPL100/SAMSUNGTL205,SAMSUNG
7#3498,11.4,7,3498,1.056904851,HDR-SR11,Sony
9#398,11.42857143,9,398,1.057991947,FE210X775,OLYMPUSIMAGINGCORP.
9#2810,11.42857143,9,2810,1.057991947,FE170X760,OLYMPUSIMAGINGCORP.
4#558,11.42857143,4,558,1.057991947,DMC-FX1,Panasonic
14#271,11.44444444,14,271,1.058594715,CanonDIGITALIXUS120IS,Canon
7#847,11.44444444,7,847,1.058594715,DSC-W190,Sony
4#2534,11.46153846,4,2534,1.059242916,DMC-FH1,Panasonic
4#1441,11.46666667,4,1441,1.059437188,DMC-FX37,Panasonic
4#1692,11.46666667,4,1692,1.059437188,DMC-FX40,Panasonic
31#3152,11.5,31,3152,1.06069784,QV-2300UX,CASIO
48#1277,11.5,48,1277,1.06069784,EX-Z40,CASIOCOMPUTERCO.LTD.
48#1732,11.5,48,1732,1.06069784,EX-Z8,CASIOCOMPUTERCO.LTD.
48#2948,11.5,48,2948,1.06069784,EX-Z7,CASIOCOMPUTERCO.LTD.
18#1598,11.5,18,1598,1.06069784,KODAKEASYSHAREC1013DIGITAL,EASTMANKODAKCOMPANY
18#1930,11.5,18,1930,1.06069784,KODAKEASYSHAREC763ZOOMDIG,EASTMANKODAKCOMPANY
24#837,11.5,24,837,1.06069784,FinePixZ10fd,FUJIFILM
24#1005,11.5,24,1005,1.06069784,FinePixA350,FUJIFILM
24#1285,11.5,24,1285,1.06069784,FinePixZ20fd,FUJIFILM
24#2765,11.5,24,2765,1.06069784,FinePixA204,FUJIFILM
24#2809,11.5,24,2809,1.06069784,FinePixA205S,FUJIFILM
24#3019,11.5,24,3019,1.06069784,FinePixA360,FUJIFILM
24#3783,11.5,24,3783,1.06069784,FinePixAV200,FUJIFILM
39#933,11.5,39,933,1.06069784,hpphotosmart735,Hewlett-Packard
39#2741,11.5,39,2741,1.06069784,HPPhotoSmartR507(V01.00),Hewlett-Packard
39#3240,11.5,39,3240,1.06069784,HPPhotoSmartR507(V01.00)+,Hewlett-Packard
41#1142,11.5,41,1142,1.06069784,DiMAGEX50,KONICAMINOLTA
62#3520,11.5,62,3520,1.06069784,V-LUX2,LEICA
38#828,11.5,38,828,1.06069784,DiMAGEE323,MinoltaCo.Ltd.
38#3517,11.5,38,3517,1.06069784,DiMAGES404,MinoltaCo.Ltd.
8#801,11.5,8,801,1.06069784,E2000,Nikon
30#440,11.5,30,440,1.06069784,u10DS300Du300D,OLYMPUSCORPORATION
30#723,11.5,30,723,1.06069784,u30DS410Du410D,OLYMPUSCORPORATION
30#940,11.5,30,940,1.06069784,X100D540ZC310Z,OLYMPUSCORPORATION
30#2408,11.5,30,2408,1.06069784,X300D565ZC450Z,OLYMPUSCORPORATION
9#1203,11.5,9,1203,1.06069784,uD600S600,OLYMPUSIMAGINGCORP.
17#1416,11.5,17,1416,1.06069784,u20DS400Du400D,OLYMPUSOPTICALCO.LTD
4#266,11.5,4,266,1.06069784,DMC-FX3,Panasonic
4#327,11.5,4,327,1.06069784,DMC-LS2,Panasonic
4#585,11.5,4,585,1.06069784,DMC-FX9,Panasonic
4#774,11.5,4,774,1.06069784,DMC-FX12,Panasonic
4#1260,11.5,4,1260,1.06069784,DMC-FX8,Panasonic
4#1295,11.5,4,1295,1.06069784,DMC-FX10,Panasonic
4#2751,11.5,4,2751,1.06069784,DMC-LC70,Panasonic
163#1881,11.5,163,1881,1.06069784,DCZ5.5,PENTACON
11#3055,11.5,11,3055,1.06069784,PENTAXOptioS45,PENTAXCorporation
11#3172,11.5,11,3172,1.06069784,PENTAXOptioM10,PENTAXCorporation
25#2678,11.5,25,2678,1.06069784,DigimaxL50/KENOXX1,SAMSUNGTECHWINCO.LTD.
74#1291,11.5,74,1291,1.06069784,S4,SANYOElectricCo.Ltd.
74#2736,11.5,74,2736,1.06069784,S3,SANYOElectricCo.Ltd.
7#1685,11.5,7,1685,1.06069784,HDR-PJ780VE,Sony
7#2317,11.5,7,2317,1.06069784,DSC-S80,Sony
79#2333,11.5,79,2333,1.06069784,SuperSlimXS7,Supra
67#3641,11.5,67,3641,1.06069784,XS400,Traveler
5#3284,11.54545455,5,3284,1.062411036,SAMSUNGWB1000/VLUUWB1000,SAMSUNG
7#48,11.54545455,7,48,1.062411036,DSC-S730,Sony
7#649,11.54545455,7,649,1.062411036,DSC-S650,Sony
7#1623,11.55555556,7,1623,1.06279083,DSC-S700,Sony
166#1938,11.57142857,166,1938,1.063386979,DC-833s,AGFAPHOTO
150#1729,11.57142857,150,1729,1.063386979,PENTAXOptio230,AsahiOpticalCo.Ltd.
167#1948,11.57142857,167,1948,1.063386979,BenQDCX735,BenQCorporation
115#1272,11.57142857,115,1272,1.063386979,DCE820%x.%04xCop,BenQDCE820%x.%04xCo
48#711,11.57142857,48,711,1.063386979,EX-S500,CASIOCOMPUTERCO.LTD.
48#1001,11.57142857,48,1001,1.063386979,EX-S600,CASIOCOMPUTERCO.LTD.
48#1275,11.57142857,48,1275,1.063386979,EX-S880,CASIOCOMPUTERCO.LTD.
48#1276,11.57142857,48,1276,1.063386979,EX-Z500,CASIOCOMPUTERCO.LTD.
48#1937,11.57142857,48,1937,1.063386979,EX-S770,CASIOCOMPUTERCO.LTD.
48#3310,11.57142857,48,3310,1.063386979,EX-Z29,CASIOCOMPUTERCO.LTD.
39#2344,11.57142857,39,2344,1.063386979,hpphotosmart733,Hewlett-Packard
62#1904,11.57142857,62,1904,1.063386979,D-LUX5,LEICA
8#2705,11.57142857,8,2705,1.063386979,COOLPIXL10,Nikon
9#2196,11.57142857,9,2196,1.063386979,X500D590ZC470Z,OLYMPUSIMAGINGCORP.
4#46,11.57142857,4,46,1.063386979,DMC-LX5,Panasonic
11#24,11.57142857,11,24,1.063386979,PENTAXOptioS6,PENTAXCorporation
11#158,11.57142857,11,158,1.063386979,PENTAXOptio33LF,PENTAXCorporation
11#686,11.57142857,11,686,1.063386979,PENTAXOptioS7,PENTAXCorporation
11#1600,11.57142857,11,1600,1.063386979,PENTAXOptioE40,PENTAXCorporation
11#2040,11.57142857,11,2040,1.063386979,PENTAXOptio33L,PENTAXCorporation
139#3234,11.57142857,139,3234,1.063386979,i737,Polaroid
25#2433,11.57142857,25,2433,1.063386979,DigimaxL70/KenoxX70,SAMSUNGTECHWINCO.LTD.
18#1175,11.6,18,1175,1.064457989,KODAKEASYSHAREC433ZOOMDIG,EASTMANKODAKCOMPANY
24#3289,11.6,24,3289,1.064457989,FinePixJ20,FUJIFILM
8#2968,11.6,8,2968,1.064457989,COOLPIXL15,Nikon
26#2097,11.6,26,2097,1.064457989,NV100HDVLUUNV100HDLANDIA,SamsungTechwin
26#2865,11.625,26,2865,1.065392962,<DigimaxU-CA5KenoxU-CA,SamsungTechwin
25#2386,11.625,25,2386,1.065392962,DigimaxA50/KENOXQ2,SAMSUNGTECHWINCO.LTD.
7#1877,11.625,7,1877,1.065392962,HDR-PJ660VE,Sony
30#2449,11.63636364,30,2449,1.065817285,C460ZdelSol,OLYMPUSCORPORATION
18#716,11.66666667,18,716,1.06694679,KODAKV550ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
18#1476,11.66666667,18,1476,1.06694679,KODAKEASYSHAREM1033DIGITAL,EASTMANKODAKCOMPANY
18#1860,11.66666667,18,1860,1.06694679,KODAKEASYSHAREM340Digital,EASTMANKODAKCOMPANY
18#3168,11.66666667,18,3168,1.06694679,KODAKEASYSHAREM1093ISDIGI,EASTMANKODAKCOMPANY
24#1143,11.66666667,24,1143,1.06694679,FinePixJV160,FUJIFILM
24#2222,11.66666667,24,2222,1.06694679,FinePixJV200,FUJIFILM
254#4067,11.66666667,254,4067,1.06694679,HDC-1296E,HITACHI
9#30,11.66666667,9,30,1.06694679,TG-310,OLYMPUSIMAGINGCORP.
9#902,11.66666667,9,902,1.06694679,D595ZC500Z,OLYMPUSIMAGINGCORP.
9#1116,11.66666667,9,1116,1.06694679,FE-140X-725,OLYMPUSIMAGINGCORP.
4#830,11.66666667,4,830,1.06694679,DMC-LC33,Panasonic
73#2131,11.66666667,73,2131,1.06694679,CX1,RICOH
5#4248,11.66666667,5,4248,1.06694679,SAMSUNGPL90/VLUUPL90,SAMSUNG
7#1069,11.66666667,7,1069,1.06694679,DSC-M2,Sony
75#3141,11.66666667,75,3141,1.06694679,ViviCam6320,Vivitar
9#3016,11.7,9,3016,1.068185862,FE200,OLYMPUSIMAGINGCORP.
4#1117,11.7,4,1117,1.068185862,DMC-FX7,Panasonic
48#402,11.71428571,48,402,1.068715812,EX-Z110,CASIOCOMPUTERCO.LTD.
48#651,11.71428571,48,651,1.068715812,EX-Z33,CASIOCOMPUTERCO.LTD.
48#952,11.71428571,48,952,1.068715812,EX-Z10,CASIOCOMPUTERCO.LTD.
48#1301,11.71428571,48,1301,1.068715812,EX-S10,CASIOCOMPUTERCO.LTD.
48#2120,11.71428571,48,2120,1.068715812,EX-S12,CASIOCOMPUTERCO.LTD.
4#2970,11.71428571,4,2970,1.068715812,DMC-LS75,Panasonic
4#1884,11.72727273,4,1884,1.069197025,DMC-FX60,Panasonic
11#2213,11.72727273,11,2213,1.069197025,PENTAXOptio30,PENTAXCorporation
7#1177,11.72727273,7,1177,1.069197025,DSC-S2100,Sony
11#1289,11.75,11,1289,1.070037867,PENTAXOptioE50,PENTAXCorporation
11#1647,11.75,11,1647,1.070037867,PENTAXOptioM40,PENTAXCorporation
217#2657,11.75,217,2657,1.070037867,Digimax430/KenoxD430,SAMSUNGTECHWINCO.LTD
11#3012,11.77777778,11,3012,1.071063356,PENTAXOptioL40,PENTAXCorporation
7#263,11.77777778,7,263,1.071063356,DSC-W110,Sony
7#331,11.77777778,7,331,1.071063356,DSC-W120,Sony
7#406,11.77777778,7,406,1.071063356,DSC-W130,Sony
7#569,11.77777778,7,569,1.071063356,DSC-W220,Sony
7#734,11.77777778,7,734,1.071063356,DSC-W210,Sony
7#2286,11.77777778,7,2286,1.071063356,DSC-W230,Sony
95#2626,11.8,95,2626,1.071882007,DCC530,BenQ
17#725,11.8,17,725,1.071882007,C3100ZC3020Z,OLYMPUSOPTICALCO.LTD
17#897,11.8,17,897,1.071882007,C2020Z,OLYMPUSOPTICALCO.LTD
17#898,11.8,17,898,1.071882007,C3000Z,OLYMPUSOPTICALCO.LTD
17#1946,11.8,17,1946,1.071882007,C2000Z,OLYMPUSOPTICALCO.LTD
17#2602,11.8,17,2602,1.071882007,C4100ZC4000Z,OLYMPUSOPTICALCO.LTD
7#3192,11.8,7,3192,1.071882007,HDR-TG1,Sony
48#1261,11.83333333,48,1261,1.073107098,EX-Z330,CASIOCOMPUTERCO.LTD.
7#143,11.83333333,7,143,1.073107098,DSC-T2,Sony
7#1652,11.83333333,7,1652,1.073107098,DCR-SR220E,Sony
9#11,11.86666667,9,11,1.074328743,TG-2,OLYMPUSIMAGINGCORP.
14#193,11.875,14,193,1.074633618,CanonPowerShotA430,Canon
14#445,11.875,14,445,1.074633618,CanonPowerShotA460,Canon
4#636,11.88888889,4,636,1.075141268,DMC-F3,Panasonic
158#1806,12,158,1806,1.079181246,Camera,.
95#2008,12,95,2008,1.079181246,DCE720,BenQ
171#2009,12,171,2009,1.079181246,DCE720%x.%04xCop,BenQDCE720%x.%04xCo
14#2837,12,14,2837,1.079181246,CanonIXYDIGITAL600,Canon
14#3153,12,14,3153,1.079181246,CanonOPTURA50,Canon
24#2782,12,24,2782,1.079181246,FinePixA400,FUJIFILM
24#2963,12,24,2963,1.079181246,FinePixA510,FUJIFILM
24#3184,12,24,3184,1.079181246,A850,FUJIFILM
39#1825,12,39,1825,1.079181246,PhotosmartM425,Hewlett-Packard
39#2307,12,39,2307,1.079181246,HPPhotoSmartC945(V01.54),Hewlett-Packard
39#2977,12,39,2977,1.079181246,HPPhotosmartMz60,Hewlett-Packard
39#3083,12,39,3083,1.079181246,HPPhotosmartM440,Hewlett-Packard
109#2862,12,109,2862,1.079181246,FC-S3,KYOCERA
38#1560,12,38,1560,1.079181246,DiMAGEG500,MinoltaCo.Ltd.
9#1241,12,9,1241,1.079181246,FE230/X790,OLYMPUSIMAGINGCORP.
4#253,12,4,253,1.079181246,DMC-TS4,Panasonic
4#4063,12,4,4063,1.079181246,DMC-GH3,Panasonic
11#2883,12,11,2883,1.079181246,PENTAXOptioT30,PENTAXCorporation
73#2756,12,73,2756,1.079181246,CaplioRR30,RICOH
5#353,12,5,353,1.079181246,VLUUST50/SAMSUNGST50,SAMSUNG
5#1649,12,5,1649,1.079181246,SAMSUNGES9/SAMSUNGES8,SAMSUNG
5#3581,12,5,3581,1.079181246,VLUUL310WL313M310W/Samsu,SAMSUNG
5#3627,12,5,3627,1.079181246,SAMSUNGES74ES75ES78/VLUU,SAMSUNG
142#3094,12,142,3094,1.079181246,VP-MS15,SamsungElectronics
26#2691,12,26,2691,1.079181246,<Digimaxi5Samsung#1>,SamsungTechwin
26#2939,12,26,2939,1.079181246,<Digimaxi6PMPSamsung#11,SamsungTechwin
26#3059,12,26,3059,1.079181246,<SamsungNV3SamsungVLUUNV,SamsungTechwin
26#3225,12,26,3225,1.079181246,<SamsungNV4SamsungVLUUNV,SamsungTechwin
26#3235,12,26,3235,1.079181246,<Samsungi8SamsungVLUUi8>,SamsungTechwin
25#2423,12,25,2423,1.079181246,DigimaxL60,SAMSUNGTECHWINCO.LTD.
7#3531,12,7,3531,1.079181246,DCR-HC42E,Sony
44#286,12,44,286,1.079181246,DV,
9#2902,12.07692308,9,2902,1.0819563,FE-130X-720,OLYMPUSIMAGINGCORP.
4#1030,12.1,4,1030,1.08278537,DMC-FT3,Panasonic
7#958,12.1,7,958,1.08278537,DSC-WX9,Sony
7#1298,12.1,7,1298,1.08278537,DSC-WX7,Sony
7#1514,12.1,7,1514,1.08278537,DSC-W570,Sony
7#1653,12.1,7,1653,1.08278537,DSC-W580,Sony
14#179,12.11111111,14,179,1.083183988,CanonPowerShotS80,Canon
14#423,12.11111111,14,423,1.083183988,CanonPowerShotS70,Canon
14#1922,12.11111111,14,1922,1.083183988,CanonPowerShotS60,Canon
4#921,12.11764706,4,921,1.083418299,DMC-FX700,Panasonic
9#770,12.125,9,770,1.083681747,FE220X785,OLYMPUSIMAGINGCORP.
24#1249,12.14285714,24,1249,1.084320886,FinePixZ33WP,FUJIFILM
7#2659,12.14285714,7,2659,1.084320886,DCR-TRV350,Sony
284#4182,12.14285714,284,4182,1.084320886,GC-X1,VICTOR
18#657,12.16666667,18,657,1.08517161,KODAKEASYSHAREM530Digital,EASTMANKODAKCOMPANY
24#624,12.16666667,24,624,1.08517161,FinePixJ15fd,FUJIFILM
7#1540,12.16666667,7,1540,1.08517161,HDR-XR500E,Sony
7#664,12.18181818,7,664,1.085712113,DSC-W310,Sony
24#1460,12.2,24,1460,1.086359831,FinePixT300,FUJIFILM
136#2789,12.2,136,2789,1.086359831,GC-QX5,JVC
4#1007,12.2,4,1007,1.086359831,DMC-FS42,Panasonic
5#3980,12.2,5,3980,1.086359831,SAMSUNGES80/SAMSUNGES81,SAMSUNG
7#1639,12.21428571,7,1639,1.086868075,FDMAVICA,Sony
136#3076,12.22222222,136,3076,1.087150176,GC-QX3,JVC
41#288,12.23076923,41,288,1.087453772,DiMAGEX60,KONICAMINOLTA
48#2255,12.25,48,2255,1.088136089,EX-ZS10,CASIOCOMPUTERCO.LTD.
18#290,12.25,18,290,1.088136089,KODAKDX6440ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
18#1764,12.25,18,1764,1.088136089,KODAKZ730ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
18#1804,12.25,18,1804,1.088136089,KODAKEASYSHAREM883ZOOMDIG,EASTMANKODAKCOMPANY
9#763,12.25,9,763,1.088136089,FE360X875C570,OLYMPUSIMAGINGCORP.
48#464,12.28571429,48,464,1.089400411,EX-Z60,CASIOCOMPUTERCO.LTD.
48#712,12.28571429,48,712,1.089400411,EX-Z80,CASIOCOMPUTERCO.LTD.
48#713,12.28571429,48,713,1.089400411,EX-Z90,CASIOCOMPUTERCO.LTD.
48#857,12.28571429,48,857,1.089400411,EX-Z75,CASIOCOMPUTERCO.LTD.
48#1055,12.28571429,48,1055,1.089400411,EX-Z6,CASIOCOMPUTERCO.LTD.
48#1293,12.28571429,48,1293,1.089400411,EX-Z70,CASIOCOMPUTERCO.LTD.
48#1443,12.28571429,48,1443,1.089400411,EX-Z65,CASIOCOMPUTERCO.LTD.
